Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Tripal MapViewer: A tool for interactive visualization and comparison of genetic maps.,/pubmed/31688940,"Buble K, Jung S, Humann JL, Yu J, Cheng CH, Lee T, Ficklin SP, Hough H, Condon B, Staton ME, Wegrzyn JL, Main D.",Database (Oxford). 2019 Jan 1;2019. pii: baz100. doi: 10.1093/database/baz100.,Database (Oxford).  2019,PubMed,citation,PMID:31688940 | PMCID:PMC6829499,pubmed,31688940,create date:2019/11/07 | first author:Buble K
Heat Source Forecast of Ball Screw Drive System Under Actual Working Conditions Based on On-Line Measurement of Temperature Sensors.,/pubmed/31671727,"Li Z, Lu Z, Zhao C, Liu F, Chen Y.",Sensors (Basel). 2019 Oct 29;19(21). pii: E4694. doi: 10.3390/s19214694.,Sensors (Basel).  2019,PubMed,citation,PMID:31671727,pubmed,31671727,create date:2019/11/02 | first author:Li Z
Glycosylator: a Python framework for the rapid modeling of glycans.,/pubmed/31640540,"Lemmin T, Soto C.",BMC Bioinformatics. 2019 Oct 22;20(1):513. doi: 10.1186/s12859-019-3097-6.,BMC Bioinformatics.  2019,PubMed,citation,PMID:31640540 | PMCID:PMC6806574,pubmed,31640540,create date:2019/10/24 | first author:Lemmin T
T-psi-C: user friendly database of tRNA sequences and structures.,/pubmed/31624839,"Sajek MP, Woźniak T, Sprinzl M, Jaruzelska J, Barciszewski J.",Nucleic Acids Res. 2019 Oct 18. pii: gkz922. doi: 10.1093/nar/gkz922. [Epub ahead of print],Nucleic Acids Res.  2019,PubMed,citation,PMID:31624839,pubmed,31624839,create date:2019/10/19 | first author:Sajek MP
Nutritional Models of Type 2 Diabetes Mellitus.,/pubmed/31586321,"Mühlhäusler BS, Toop C, Gentili S.",Methods Mol Biol. 2020;2076:43-69. doi: 10.1007/978-1-4939-9882-1_3.,Methods Mol Biol.  2020,PubMed,citation,PMID:31586321,pubmed,31586321,create date:2019/10/06 | first author:Mühlhäusler BS
Optimising time samples for determining area under the curve of pharmacokinetic data using non-compartmental analysis.,/pubmed/31412422,"Hughes JH, Upton RN, Reuter SE, Phelps MA, Foster DJR.",J Pharm Pharmacol. 2019 Nov;71(11):1635-1644. doi: 10.1111/jphp.13154. Epub 2019 Aug 14.,J Pharm Pharmacol.  2019,PubMed,citation,PMID:31412422,pubmed,31412422,create date:2019/08/15 | first author:Hughes JH
Genetically Programmable Self-Regenerating Bacterial Hydrogels.,/pubmed/31402514,"Duraj-Thatte AM, Courchesne ND, Praveschotinunt P, Rutledge J, Lee Y, Karp JM, Joshi NS.",Adv Mater. 2019 Oct;31(40):e1901826. doi: 10.1002/adma.201901826. Epub 2019 Aug 12.,Adv Mater.  2019,PubMed,citation,PMID:31402514 | PMCID:PMC6773506,pubmed,31402514,create date:2019/08/14 | first author:Duraj-Thatte AM
Machine learning and molecular descriptors enable rational solvent selection in asymmetric catalysis.,/pubmed/31367324,"Amar Y, Schweidtmann AM, Deutsch P, Cao L, Lapkin A.",Chem Sci. 2019 May 30;10(27):6697-6706. doi: 10.1039/c9sc01844a. eCollection 2019 Jul 21.,Chem Sci.  2019,PubMed,citation,PMID:31367324 | PMCID:PMC6625492,pubmed,31367324,create date:2019/08/02 | first author:Amar Y
Synthetic DNA and RNA Programming.,/pubmed/31336805,"O'Donoghue P, Heinemann IU.",Genes (Basel). 2019 Jul 11;10(7). pii: E523. doi: 10.3390/genes10070523.,Genes (Basel).  2019,PubMed,citation,PMID:31336805 | PMCID:PMC6678149,pubmed,31336805,create date:2019/07/25 | first author:O'Donoghue P
Tripal v3: an ontology-based toolkit for construction of FAIR biological community databases.,/pubmed/31328773,"Spoor S, Cheng CH, Sanderson LA, Condon B, Almsaeed A, Chen M, Bretaudeau A, Rasche H, Jung S, Main D, Bett K, Staton M, Wegrzyn JL, Feltus FA, Ficklin SP.",Database (Oxford). 2019 Jan 1;2019. pii: baz077. doi: 10.1093/database/baz077.,Database (Oxford).  2019,PubMed,citation,PMID:31328773 | PMCID:PMC6643302,pubmed,31328773,create date:2019/07/23 | first author:Spoor S
Application of non-animal-inspired evolutionary algorithms to reservoir operation: an overview.,/pubmed/31203466,"Jahandideh-Tehrani M, Bozorg-Haddad O, Loáiciga HA.",Environ Monit Assess. 2019 Jun 15;191(7):439. doi: 10.1007/s10661-019-7581-2. Review.,Environ Monit Assess.  2019,PubMed,citation,PMID:31203466,pubmed,31203466,create date:2019/06/17 | first author:Jahandideh-Tehrani M
Scaling tree-based automated machine learning to biomedical big data with a feature set selector.,/pubmed/31165141,"Le TT, Fu W, Moore JH.",Bioinformatics. 2019 Jun 4. pii: btz470. doi: 10.1093/bioinformatics/btz470. [Epub ahead of print],Bioinformatics.  2019,PubMed,citation,PMID:31165141,pubmed,31165141,create date:2019/06/06 | first author:Le TT
VCF-Server: A web-based visualization tool for high-throughput variant data mining and management.,/pubmed/31127704,"Jiang J, Gu J, Zhao T, Lu H.",Mol Genet Genomic Med. 2019 Jul;7(7):e00641. doi: 10.1002/mgg3.641. Epub 2019 May 24.,Mol Genet Genomic Med.  2019,PubMed,citation,PMID:31127704 | PMCID:PMC6625089,pubmed,31127704,create date:2019/05/28 | first author:Jiang J
Gigwa v2-Extended and improved genotype investigator.,/pubmed/31077313,"Sempéré G, Pétel A, Rouard M, Frouin J, Hueber Y, De Bellis F, Larmande P.",Gigascience. 2019 May 1;8(5). pii: giz051. doi: 10.1093/gigascience/giz051.,Gigascience.  2019,PubMed,citation,PMID:31077313 | PMCID:PMC6511067,pubmed,31077313,create date:2019/05/12 | first author:Sempéré G
Melanoma Explorer: a web application to allow easy reanalysis of publicly available and clinically annotated melanoma omics data sets.,/pubmed/31026248,"Strbenac D, Wang K, Wang X, Dong J, Mann GJ, Mueller S, Yang JYH.",Melanoma Res. 2019 Jun;29(3):342-344. doi: 10.1097/CMR.0000000000000533.,Melanoma Res.  2019,PubMed,citation,PMID:31026248,pubmed,31026248,create date:2019/04/27 | first author:Strbenac D
Programming CAR-T cells to kill cancer.,/pubmed/31011197,"Labanieh L, Majzner RG, Mackall CL.",Nat Biomed Eng. 2018 Jun;2(6):377-391. doi: 10.1038/s41551-018-0235-9. Epub 2018 Jun 11. Review.,Nat Biomed Eng.  2018,PubMed,citation,PMID:31011197,pubmed,31011197,create date:2019/04/24 | first author:Labanieh L
Software solutions for evaluation and visualization of laser ablation inductively coupled plasma mass spectrometry imaging (LA-ICP-MSI) data: a short overview.,/pubmed/30778692,"Weiskirchen R, Weiskirchen S, Kim P, Winkler R.",J Cheminform. 2019 Feb 18;11(1):16. doi: 10.1186/s13321-019-0338-7. Review.,J Cheminform.  2019,PubMed,citation,PMID:30778692 | PMCID:PMC6690067,pubmed,30778692,create date:2019/02/20 | first author:Weiskirchen R
A decision support tool to enhance agricultural growth in the Mékrou river basin (West Africa).,/pubmed/30739969,"Udias A, Pastori M, Dondeynaz C, Carmona Moreno C, Ali A, Cattaneo L, Cano J.",Comput Electron Agric. 2018 Nov;154:467-481. doi: 10.1016/j.compag.2018.09.037.,Comput Electron Agric.  2018,PubMed,citation,PMID:30739969 | PMCID:PMC6358152,pubmed,30739969,create date:2019/02/12 | first author:Udias A
sim1000G: a user-friendly genetic variant simulator in R for unrelated individuals and family-based designs.,/pubmed/30646839,"Dimitromanolakis A, Xu J, Krol A, Briollais L.",BMC Bioinformatics. 2019 Jan 15;20(1):26. doi: 10.1186/s12859-019-2611-1.,BMC Bioinformatics.  2019,PubMed,citation,PMID:30646839 | PMCID:PMC6332552,pubmed,30646839,create date:2019/01/17 | first author:Dimitromanolakis A
PopCluster: an algorithm to identify genetic variants with ethnicity-dependent effects.,/pubmed/30624692,"Gurinovich A, Bae H, Farrell JJ, Andersen SL, Monti S, Puca A, Atzmon G, Barzilai N, Perls TT, Sebastiani P.",Bioinformatics. 2019 Sep 1;35(17):3046-3054. doi: 10.1093/bioinformatics/btz017.,Bioinformatics.  2019,PubMed,citation,PMID:30624692 | PMCID:PMC6735784,pubmed,30624692,create date:2019/01/10 | first author:Gurinovich A
The application of 0-1 mixed integer nonlinear programming optimization model based on a surrogate model to identify the groundwater pollution source.,/pubmed/30473396,"Guo JY, Lu WX, Yang QC, Miao TS.",J Contam Hydrol. 2019 Jan;220:18-25. doi: 10.1016/j.jconhyd.2018.11.005. Epub 2018 Nov 19.,J Contam Hydrol.  2019,PubMed,citation,PMID:30473396,pubmed,30473396,create date:2018/11/27 | first author:Guo JY
